Sede,Carrera,Carné,Nombre,Correo,Teléfono,Mentor
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021018965,Charlotte Lish Small,clish@estudiantec.cr,71866150,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Agrícola,2021012062,Andy Espinoza Gilbert,aespinoza@estudiantec.cr,73315866,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Agrícola,2021011387,Katharina Considine Buckley,kconsidine@estudiantec.cr,81577838,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Ambiental,2021015801,Arthur Smith Button,asmith@estudiantec.cr,75431925,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Ambiental,2021019538,Donald Adkins Cutts,dadkins@estudiantec.cr,95009136,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Ambiental,2021015930,John Jordan Amador,jjordan@estudiantec.cr,65835349,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Ambiental,2021011552,Roland Alston Williams,ralston@estudiantec.cr,67607209,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Electrónica,2021013546,Beulah Carlisle Boyett,bcarlisle@estudiantec.cr,86836965,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Agronegocios,2021015495,Maria Tassin Barclay,mtassin@estudiantec.cr,98772845,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computadores,2021015812,Jeremy Perkins Teeter,jperkins@estudiantec.cr,60001657,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Construcción,2021016703,Pete Vinson Mccormick,pvinson@estudiantec.cr,62279525,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Construcción,2021013455,Samuel Charley Doyle,scharley@estudiantec.cr,63814313,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Diseño Industrial,2021013599,Mason Flores Daniels,mflores@estudiantec.cr,77946827,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Diseño Industrial,2021016737,Felisha Dooley Anderson,fdooley@estudiantec.cr,77576830,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Diseño Industrial,2021016079,Walter Landis Sims,wlandis@estudiantec.cr,84428364,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Diseño Industrial,2021019320,Nancy Snapp Scott,nsnapp@estudiantec.cr,99212401,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Seguridad Laboral e Higiene Ambiental,2021018082,Mark Charpentier Owens,mcharpentier@estudiantec.cr,66709139,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Seguridad Laboral e Higiene Ambiental,2021014557,Helen Lang Bevelacqua,hlang@estudiantec.cr,65179174,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Seguridad Laboral e Higiene Ambiental,2021017945,Christina Edwards Norton,cedwards@estudiantec.cr,83673117,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Seguridad Laboral e Higiene Ambiental,2021014690,Helen Burks Wilkins,hburks@estudiantec.cr,63276395,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Mecatrónica,2021018276,John Johansen Mosier,jjohansen@estudiantec.cr,66229691,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Mantenimiento Industrial,2021016565,Frank Thomas Broussard,fthomas@estudiantec.cr,62847691,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Mantenimiento Industrial,2021016310,Michael Tellier Barbee,mtellier@estudiantec.cr,94646191,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Mantenimiento Industrial,2021011339,John Soderquist Jones,jsoderquist@estudiantec.cr,88118567,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Mantenimiento Industrial,2021019841,Daniel Rodriguez Toler,drodriguez@estudiantec.cr,73655815,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Mantenimiento Industrial,2021014098,Betty Hartsock Clarke,bhartsock@estudiantec.cr,70274419,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Administración de Empresas,2021026101,Alvin Baldyga Greer,abaldyga@estudiantec.cr,77700311,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Administración de Empresas,2021025791,Marjorie Vedovelli Molleur,mvedovelli@estudiantec.cr,75875825,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2021024386,Harry Koprowski Choudhury,hkoprowski@estudiantec.cr,82514532,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2021023084,Linda Dawson Wilson,ldawson@estudiantec.cr,61876314,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2021024327,Steven Comer Battle,scomer@estudiantec.cr,78003327,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2021027485,Heather Taylor Dominguez,htaylor@estudiantec.cr,97580530,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2021024473,Luis Martinez Boyd,lmartinez@estudiantec.cr,76383482,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Gestión en Turismo Rural Sostenible,2021022008,Douglas Cooney Whitlow,dcooney@estudiantec.cr,67941728,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Electrónica,2021028886,Frederick Ebner Goodman,febner@estudiantec.cr,76378287,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Electrónica,2021022514,Mary Stanford Garland,mstanford@estudiantec.cr,90096035,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Electrónica,2021021417,Herb Groves Christian,hgroves@estudiantec.cr,83792213,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Agronomía,2021021329,Richard Jones Gillam,rjones@estudiantec.cr,74235155,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Agronomía,2021028968,Pete Beighley Mcginnis,pbeighley@estudiantec.cr,63625523,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Agronomía,2021023075,Corey Mcneal Page,cmcneal@estudiantec.cr,78901398,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Producción Industrial,2021021972,Juan Humphrey Lopez,jhumphrey@estudiantec.cr,77461340,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021035042,Annie Stamps Smith,astamps@estudiantec.cr,83990141,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021035071,Michael Seigler Carney,mseigler@estudiantec.cr,94521763,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021037595,Kenneth Young Hopkins,kyoung@estudiantec.cr,77118133,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021038484,Mike Lesueur Stoltz,mlesueur@estudiantec.cr,87253463,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021034749,Paul Crowe Dunlap,pcrowe@estudiantec.cr,85578468,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021034850,Patrick Fernandez Ward,pfernandez@estudiantec.cr,64199641,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021039460,Lillian Quinones Cook,lquinones@estudiantec.cr,81442731,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021032452,Christina Holladay Silvas,cholladay@estudiantec.cr,74724159,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021036943,Evan Osullivan Gamble,eosullivan@estudiantec.cr,95493813,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021037209,Mark Walker Saylor,mwalker@estudiantec.cr,92083380,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021039538,Margaret Southerland Whaley,msoutherland@estudiantec.cr,89665134,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Ingeniería en Computación,2021039903,Michael Brown Delo,mbrown@estudiantec.cr,73957365,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Ingeniería en Computación,2021034693,Billie Cadena Dennis,bcadena@estudiantec.cr,99107392,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Ingeniería en Computación,2021038439,Sarah Murphy Hansen,smurphy@estudiantec.cr,61978121,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Ingeniería en Computación,2021033672,Harold Olmstead Freer,holmstead@estudiantec.cr,82776791,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021046767,Eric Coffee Johnson,ecoffee@estudiantec.cr,96652425,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021043354,Mary Wilson Sutton,mwilson@estudiantec.cr,89971874,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021044352,Joseph Hagans Gilliam,jhagans@estudiantec.cr,71914537,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021041227,James Horn Reyes,jhorn@estudiantec.cr,95035181,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021046405,Chris Robertson Moore,crobertson@estudiantec.cr,81683113,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021045615,Jean Ellis Palone,jellis@estudiantec.cr,70094160,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021042702,Mark Hatten Mata,mhatten@estudiantec.cr,84386196,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021045271,Christopher Santiago Nunley,csantiago@estudiantec.cr,72044126,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021043199,Doris Kinyon Reyna,dkinyon@estudiantec.cr,62660028,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021049638,Lillian Pena Martinez,lpena@estudiantec.cr,72338051,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021042819,James Lang Gabriel,jlang@estudiantec.cr,60959529,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021046340,Maria Griffitts Mayfield,mgriffitts@estudiantec.cr,71555426,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021046591,Patricia Buresh Campbell,pburesh@estudiantec.cr,84274490,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021042553,Nicholas Salvador Kyung,nsalvador@estudiantec.cr,94759533,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021044557,Catherine Numbers Bradley,cnumbers@estudiantec.cr,73112087,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021049370,Katlyn Linke Berry,klinke@estudiantec.cr,98627464,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021041522,Carol Wade Wyman,cwade@estudiantec.cr,80004368,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021043162,Robert Barrett Amsden,rbarrett@estudiantec.cr,63956162,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021046859,Tonya Arnhart Carkhuff,tarnhart@estudiantec.cr,93656711,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021049285,Eric Buckley Peluso,ebuckley@estudiantec.cr,67822379,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021045120,Jason Sobina Latsko,jsobina@estudiantec.cr,87274818,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021041378,William Elston Barber,welston@estudiantec.cr,84786596,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021048460,Jennifer Talbot Hunte,jtalbot@estudiantec.cr,81053258,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021045267,Catherine Ouellette Marrero,couellette@estudiantec.cr,94657257,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021044301,Harry Morley Simpson,hmorley@estudiantec.cr,64032698,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021046723,Alice Blount Ruiz,ablount@estudiantec.cr,86702391,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021059464,Robert Powell Massey,rpowell@estudiantec.cr,73482584,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021056022,Arlene Winstead Rhem,awinstead@estudiantec.cr,71623767,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021052044,Audrey Loudermilk Sroka,aloudermilk@estudiantec.cr,66602787,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021058834,Norman Rodrigues Bates,nrodrigues@estudiantec.cr,89891080,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021058832,Anna Behrens Bryant,abehrens@estudiantec.cr,79523394,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021057850,Connie Clement Johnson,cclement@estudiantec.cr,69124011,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021054808,Ronald Kiffer Felix,rkiffer@estudiantec.cr,97013590,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021051883,Corey Dobransky Hill,cdobransky@estudiantec.cr,91261242,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021057549,Wanda Clark Brewer,wclark@estudiantec.cr,90152495,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021051908,Barbara Jones King,bjones@estudiantec.cr,79273553,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021055794,Sheila Johnson Sanchez,sjohnson@estudiantec.cr,79301427,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021053804,George Jones Walsh,gjones@estudiantec.cr,90315940,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021051170,Bessie Field Whaley,bfield@estudiantec.cr,62758806,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021054631,Jeremy Haley Flores,jhaley@estudiantec.cr,67187406,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021058311,Donald Hailey Lee,dhailey@estudiantec.cr,61771035,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021059843,William Badilla Alejandro,wbadilla@estudiantec.cr,82336917,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021051508,Tammy Herr Vorpahl,therr@estudiantec.cr,79634412,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021056187,Kenneth Eckert Byrd,keckert@estudiantec.cr,85654689,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021058009,Mary Stanley Becerra,mstanley@estudiantec.cr,90746037,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021059650,Sandy Melendez Eaddy,smelendez@estudiantec.cr,85175698,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021059729,Rhoda Stammel Clarke,rstammel@estudiantec.cr,76909629,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021059802,Ralph Wilgus Glaser,rwilgus@estudiantec.cr,82635838,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021058626,Frank Chilton Smith,fchilton@estudiantec.cr,71809032,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021059787,Nancy Bartsch Comee,nbartsch@estudiantec.cr,81255894,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021054586,Jane Nunmaker Zenisek,jnunmaker@estudiantec.cr,80174986,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021052013,Margaret Kercher Graham,mkercher@estudiantec.cr,62457975,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021052316,Angela Burke Flowe,aburke@estudiantec.cr,72399249,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021058629,Laronda Herring Troutman,lherring@estudiantec.cr,75516344,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021052657,Joyce Fincher Dumas,jfincher@estudiantec.cr,64128780,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021059317,Alden Dietzler Mcculloch,adietzler@estudiantec.cr,97293444,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021058669,Gregory Fox Brown,gfox@estudiantec.cr,75191736,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021059716,Kristen Crawford Simons,kcrawford@estudiantec.cr,74255935,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021051453,Karen Martello Rouse,kmartello@estudiantec.cr,79040137,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021055762,Jeanette Padovano Devore,jpadovano@estudiantec.cr,73200098,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021058848,Brittany Martin Jackson,bmartin@estudiantec.cr,68453246,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021056217,Joseph Sarvis Harrold,jsarvis@estudiantec.cr,73914834,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021059696,David Ethridge Tyler,dethridge@estudiantec.cr,65522846,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021055325,George Damiano Walter,gdamiano@estudiantec.cr,61577551,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021057926,Roy Hamilton Ocasio,rhamilton@estudiantec.cr,94931954,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021056512,Jessica Smith Hochstatter,jsmith@estudiantec.cr,72264928,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021054147,Cheryl Caldwell Croft,ccaldwell@estudiantec.cr,77000487,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021056185,Kristine Mauldin Felton,kmauldin@estudiantec.cr,60702348,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021054230,Helen Rau Mueller,hrau@estudiantec.cr,80043219,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021058004,Vickie Locher Wade,vlocher@estudiantec.cr,96538700,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021057521,James Connell Nixon,jconnell@estudiantec.cr,83763886,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021058928,George Ware Anderson,gware@estudiantec.cr,63186046,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021056570,Cynthia Perkins Wiggins,cperkins@estudiantec.cr,64273937,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021056095,Thomas Warner Conner,twarner@estudiantec.cr,86727698,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Biotecnología,2020014038,Laura Pye Clark,lpye@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Empresas,2020013247,Ronald Dyer Perez,rdyer@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computación,2020019067,Elmer Smith Borman,esmith@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Gestión en Turismo Sostenible,2020016932,Laura Lipford Alexander,llipford@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Enseñanza de la Matemática con Entornos Tecnológicos,2020018399,Cori Rollins Justen,crollins@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2020012956,Leslie Randall Mccabe,lrandall@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Agrícola,2020015810,Darla Lee Eichelberger,dlee@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Ambiental,2020016745,Vincent Cranmer Alcazar,vcranmer@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Electrónica,2020018176,Steve Scott Wright,sscott@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Agronegocios,2020016382,Carole Flaim Studivant,cflaim@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computadores,2020016063,Amy Miller Gordon,amiller@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Construcción,2020013165,Robin Kondracki Thompson,rkondracki@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Diseño Industrial,2020013762,Alissa Mendenhall Johnson,amendenhall@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Seguridad Laboral e Higiene Ambiental,2020012302,Teddy Ciotti Clay,tciotti@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Mecatrónica,2020012312,Tyrell Colson Watts,tcolson@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Mantenimiento Industrial,2020019181,Andre Ricciardi Mcguigan,aricciardi@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Administración de Empresas,2020024243,Douglas Johnson Bliss,djohnson@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2020021732,Frankie Harley Castle,fharley@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Gestión en Turismo Rural Sostenible,2020026169,Minnie Hargenrader Miller,mhargenrader@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Electrónica,2020027283,Homer Albright Lien,halbright@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Agronomía,2020021549,Miguel Bell Thornton,mbell@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Producción Industrial,2020025124,Juana Sicard So,jsicard@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2020033166,Jeffrey Rice Britt,jrice@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2020034931,Ann Kenimer Wheeler,akenimer@estudiantec.cr,No aplica,True
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Ingeniería en Computación,2020039484,Peggy Michaels Stancliff,pmichaels@estudiantec.cr,No aplica,True
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2020042081,Jean Park Feldkamp,jpark@estudiantec.cr,No aplica,True
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2020046432,Bonita Harrison Eaton,bharrison@estudiantec.cr,No aplica,True
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2020052279,Barry Wagner Fulton,bwagner@estudiantec.cr,No aplica,True
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2020055793,Rafael Estep Johnson,restep@estudiantec.cr,No aplica,True
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2020059909,Raymond Parsons Swayne,rparsons@estudiantec.cr,No aplica,True
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2020058977,Celina,c@g.com,No aplica,True
