Sede,Carrera,Carné,Nombre,Correo,Teléfono,Mentor
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Electrónica,2021023339,Thomas Langerman Rau,tlangerman@estudiantec.cr,81679478,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Agronomía,2021028860,Kristopher Hernandez Johnson,khernandez@estudiantec.cr,66013492,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Producción Industrial,2021024261,Deborah Brant Walter,dbrant@estudiantec.cr,75699989,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Producción Industrial,2021027817,Chet Hunnicutt Hossain,chunnicutt@estudiantec.cr,74725049,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Producción Industrial,2021024689,Susan Jackson Farr,sjackson@estudiantec.cr,95814316,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021034750,Isaac Godfrey Howard,igodfrey@estudiantec.cr,66343288,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021036320,Tamiko Todd Anderson,ttodd@estudiantec.cr,77024893,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021034932,Thomas Cochran Rollinger,tcochran@estudiantec.cr,64658140,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021038588,Aurora Remaley Pentecost,aremaley@estudiantec.cr,67531808,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021036155,Marion Sanders Jolissaint,msanders@estudiantec.cr,68139235,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Arquitectura y Urbanismo,2021031006,Myra Monteagudo Benedetto,mmonteagudo@estudiantec.cr,72421338,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021032452,Linda Estrello Smoot,lestrello@estudiantec.cr,76551478,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021031449,Joshua Andres Gavia,jandres@estudiantec.cr,81238845,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Administración de Empresas,2021037096,Stephanie Shaw Smith,sshaw@estudiantec.cr,69514964,False
CAMPUS TECNOLÓGICO LOCAL SAN JOSÉ,Ingeniería en Computación,2021036285,Kelly Cabrales Tarbox,kcabrales@estudiantec.cr,66899456,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021047538,Michael Bartholomew Becknell,mbartholomew@estudiantec.cr,79036456,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021042290,Graciela Holmes Pillsbury,gholmes@estudiantec.cr,82545421,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021047327,James Luna Merrick,jluna@estudiantec.cr,76780061,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021041847,David Strom Barer,dstrom@estudiantec.cr,71811362,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021041076,Jacquelin Edwards Quirin,jedwards@estudiantec.cr,85593391,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021045937,Thomas Jenkins Klaus,tjenkins@estudiantec.cr,71997206,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021045392,Donald Price Davis,dprice@estudiantec.cr,90829028,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Computación,2021046375,Carol Remington Beene,cremington@estudiantec.cr,92879615,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021043434,Daniel Rodriguez Taylor,drodriguez@estudiantec.cr,72885611,False
CENTRO ACADÉMICO DE ALAJUELA,Ingeniería en Electrónica,2021046614,Thomas Anderson Spencer,tanderson@estudiantec.cr,87260201,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021053535,Susan Kelly June,skelly@estudiantec.cr,80417274,False
CENTRO ACADÉMICO DE LIMÓN,Administración de Empresas,2021054716,Omar Mara Johnson,omara@estudiantec.cr,66894982,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021054232,Socorro Golston Macias,sgolston@estudiantec.cr,94443667,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Computación,2021057730,Vernon Stephens Eppler,vstephens@estudiantec.cr,67935117,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021053362,Jeremiah Zadow Moorman,jzadow@estudiantec.cr,80768398,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021054657,Jessica Gordon Simpkins,jgordon@estudiantec.cr,77920282,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021054375,Duncan Pederson Braun,dpederson@estudiantec.cr,86590705,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021054443,Edmond Propes Gilling,epropes@estudiantec.cr,60013198,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021052548,Renee Clouser Clarke,rclouser@estudiantec.cr,71348278,False
CENTRO ACADÉMICO DE LIMÓN,Ingeniería en Producción de Industrial,2021057911,John Kash Bussard,jkash@estudiantec.cr,85549811,False
